"citation_id","study_id","response_id","pub_journal","pub_year","pub_number_experiments","pub_primary_secondary","pub_primary_secondary_source","pub_comments","experiment","exp_pop","exp_pop_source","exp_level_random","exp_level_random_source","exp_exp_unit","exp_obs_unit","exp_random_procedure","exp_random_procedure_source","exp_treatment_cond_num","exp_treatment_cond_num_source","exp_comments","dep_present","dep_types","dep_describe","dep_comments","partial_type","partial_type_detail","partial_standardization","partial_diversity","partial_standardization_diversity_source","partial_assign","partial_assign_type","partial_assign_detail","partial_assign_source","partial_size","partial_size_avg","partial_size_min","partial_size_max","partial_comments","analytical_outcome","analytical_goal","analytical_statistical_analysis","analytical_statistical_analysis_source","analytical_outcome_type","analytical_repeated","analytical_hierarchcial","analytical_crossclassified","analytical_multimembership","analytical_partial_cluster","analytical_other","analytical_dep_detail","analytical_partial_cluster_assign","analytical_partial_cluster_assign_source","analytical_comments","journal_type","partial_nest","partial_class","exp_treatment_provider_percent","exp_treatment_group_percent","obs_treatment_provider_percent","obs_treatment_group_percent","Score"
"111577569","111577569","28785","Prevention Science","2020","1","First publication of the study’s results","617, The Present Study","They report qualitative results in other paper  (DSRU et al. 2016) but quantitative results from previous papers.","1","mainstream state-maintained primary schools in Wales","617, Participants","Cluster","617, Trial Design","School","Student","Block/Stratified","617, Randomization","2","dynamic adaptive algorithm  (Russell et al. 2011)  was used for randomization",NA,"Yes","Partially Nested Clusters,Hierarchical clustering,Repeated measures","Repeated measures: Post and Baseline Measures ~ Hierarchical clustering: Students nested in schools ~ Partially Nested Clusters: Schools in treatment were trained by 2 treatment providers",NA,"Treatment Provider","accredited KiVa trainers who were the authors JH and SC","Yes","No","618, Intervention","No","Natural (Non-Random)","In protocol: Accredited KiVa trainers (members of the Finnish KiVa team, JH and SC) will provide training in Bangor and Cardiff respectively. This means each author worked in a different area","4, Intervention (Clarkson et al. 2016)","No",NA,NA,NA,NA,"pupil-reported victimization","Total Effect estimation","Binary out comes were compared between trial arms using marginal logistic regression models using Generalized Estimating Equations (GEEs) with information sandwich (“robust”) estimates of standard error","620, Analysis","Nominal category","Other","Robust variance estimation,Generalized estimating equations",NA,NA,"Ignored",NA,NA,"No",NA,NA,"Health","PN","Treatment Provider CRD",0.5,0,0,0,78
"111570692","111570692","28681","Health Psychology","2022","1","First publication of the study’s results","2, Transparency and Openness",NA,"1","Patients with  somatoform disorders with reference non experimental samples from patients major depression and healthy volunteers","1, Abstract","Individual","4, Experimental Conditions","Participants",NA,"Complete/Ratio","3, Table1","3","3, Table1",NA,"Yes","Repeated measures","Repeated measures: Pre and Post",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expectation of a Serious Disease","Total Effect estimation","analysis of covariance (ANCOVA)","5, Statistical Analyses","Continuous","Other",NA,NA,NA,NA,NA,NA,NA,NA,"Repeated measures: baseline was conditioned on","Health","No-PN",NA,NA,NA,NA,NA,1
"111571581","111571581","28524","Journal of Research on Educational Effectiveness","2020","1","Based on data that have been previously published","303, Design",NA,"1","children aged 6-7  in main stream, state-maintained primary schools in England","303, Design - Participants","Cluster","303, Design","School","Student","Block/Stratified","2. Design,  Project Protocol","2","303, Design",NA,"Yes","Hierarchical clustering,Partially Nested Clusters,Repeated measures","Repeated measures: Pre and Post test ~ Hierarchical clustering: Students nested in schools ~ Partially Nested Clusters: Treated Students nested in teams within schools, Treated Schools visited by coaches to support teachers",NA,"Group Setting,Treatment Provider","Treatment Provider: Coaches who were teachers or education professionals visited schools to support teachers ~ Group Setting: Students worked in teams within classrooms in treated schools","Yes","No","304-305, Intervention","No","Other","Group Setting: Students in the classroom worked in teams that were gender balanced and heterogeneous in behavior and academic ability ~ Treatment Provider: Each school had 1 coach and not reported how coaches were assigned to schools","304-305, Intervention ~ Each school had a coach 11. How well (planned) (GBG_evalutation_report)","Yes","Treatment Provider: 1 school","Treatment Provider: 1 school","Group Setting: 7 students ~ Treatment Provider: 1 school",NA,"disruptive behavior scale ~  concentration problems scale ~ pro-social behavior scale","Moderation/effect heterogeneity,Total Effect estimation","Intention-to-treat analyses (controlling for school-level FSM and school size, and child level gender, FSM, SEND status and baseline score) with multilevel modeling","307, Analysis","Continuous","Other","Random effects",NA,NA,"Ignored",NA,NA,"No",NA,NA,"Education","PN","Treatment Provider CRD",0.5,0,0,0.5,56
"111570610","111570610","28975","Obesity","2022","1","Based on data that have been previously published","109, Study Design",NA,"1","adults with obesity without diabetes","108, Abstract","Individual","110, Intervention","Participants",NA,"Block/Stratified","110, Intervention","2","110, Intervention",NA,"Yes","Repeated measures","Repeated measures: Pre and Post Test",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 outcomes from a oral glucose tolerance testing","Total Effect estimation","Two-sample t tests on the change score","111, Statistical analyses","Continuous","Other",NA,NA,NA,NA,NA,NA,NA,NA,"repeated measures : T test on the change score","Health","No-PN",NA,NA,NA,NA,NA,65
"111577508","111577508","28877","Preventive Medicine","2020","1","Based on data that have been previously published","2, Description of the parent trial",NA,"1","adult smokers","1, Abstract","Cluster","2, Description of the parent trial","Clinic","Participant","Block/Stratified","2, Description of the parent trial","2","2, Description of the parent trial",NA,"Yes","Hierarchical clustering","Hierarchical clustering: Patients nested within clinic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cessation medication utilization, any quit attempt lasting at least 24-hours during the follow-up period, floating abstinence, defined as any 7-day period of non-smoking at any point during the study, 7-day PPA at the 6-month follow-up assessment","Moderation/effect heterogeneity","Generalized linear mixed models, using a logit link for binary data and including a random intercept component for site to account for clustering within the primary care clinics, were used for hypothesis testing","3, Data analytic plan","Nominal category",NA,"Random effects",NA,NA,NA,NA,NA,NA,NA,NA,"Health","No-PN",NA,NA,NA,NA,NA,9
"111570161","111570161","28775","Journal of Consulting and Clinical Psychology","2020","1","Based on data that have been previously published","3, Method",NA,"1","adults with binge-eating disorder","3, Pareticipants and Recruitment","Individual","3, Protocol","Participant",NA,"Block/Stratified","3, Protocol","2","3, Protocol",NA,"Yes","Hierarchical clustering,Repeated measures","Repeated measures: Baseline, End of trial and follow-up outcome measures ~ Hierarchical clustering: Participants nested under Study Site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"objective binge episodes frequency and objective binge episodes abstinence at End of trial and 6-month follow up","Moderation/effect heterogeneity",NA,"Generalized linear models (GLMs) were used to evaluate predictors and moderators of OBE frequency and abstinence at EOT and 6-month FU","Discrete Counts,Nominal category","Other","Ignored",NA,NA,NA,NA,NA,NA,NA,NA,"Health","No-PN",NA,NA,NA,NA,NA,57
"111569991","111569991","28853","Journal of Educational Research","2021","1","First publication of the study’s results","255, Participants and context",NA,"1","struggling middle school readers","255, Effective fluency instruction","Cluster","255, Instruction in the comparison group","Classroom","Student","Complete/Ratio","255, Participants and context","2","255, Participants and context","Study refers to self as quasi-experimental study","Yes","Hierarchical clustering,Repeated measures","Repeated measures: Pretest and Posttest ~ Hierarchical clustering: Students nested in classroom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 reading performance outcomes","Total Effect estimation","repeated measures ANOVAs",NA,"Continuous","Other","Ignored",NA,NA,NA,NA,NA,NA,NA,"repeated measures: Treated as repeated measures ANOVA","Education","No-PN",NA,NA,NA,NA,NA,22
"111571223","111571223","27228","Prevention Science","2022","1","Based on data that have been previously published","1496, Methods",NA,"1","Men in couples transitioning to parenthood","1496, Introduction","Individual","1496, Methods","Participant",NA,"Block/Stratified","1496, Methods","2","1497, Fig. 1",NA,"Yes","Partially Nested Clusters","Partially Nested Clusters: Participants attended treatment in groups of 12 and groups were led by community volunteers",NA,"Treatment Provider,Group Setting","Treatment Provider: Trained Community volunteers ~ Group Setting: Participants attended treatment in groups of 12 and groups were led by community volunteers","Yes","No","7, The Bandebereho intervention (Doyle  et al., 2018)","No","Natural (Non-Random)","Not Described",NA,"Yes","12","12","12",NA,"Physical and/or Sexual Intimate  Partner Violence in Last 12 Months","Mediation","conceptually-driven structural equation models to represent  the processes by which the eleven hypothesized mediat ing variables linked treatment assignment to IPV","1499,  Statistical Analysis","Continuous",NA,NA,NA,NA,"Ignored",NA,NA,"No",NA,NA,"Health","PN","Grouped IRD",0.5,0.5,NA,NA,65
"111571340","111571340","27798","Prevention Science","2022","1","First publication of the study’s results","1415,  This Study",NA,"1","adolescents between the ages of 10- and 15-years-old presenting for a peer fight-related injury in two urban, pediatric EDs","1416, Sample","Individual","1416, Procedures","Participants",NA,"Block/Stratified","1417, Procedures","2","Table 1, 1416",NA,"Yes","Repeated measures,Hierarchical clustering","Repeated measures: Baseline and 2 follow up measures~ Hierarchical clustering: Patients nested within recruitment site (site is blocking variable)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number of fights youth reports~ Behavior, Attitudes and Skills subscales item scales averaged over","Total Effect estimation","Regression analyses to estimate intervention effects at both 9 and 21 months. Count variables treated as negative binominal, scales treated as continuous. Estimated though full information maximum likelihood.","1419, Data Analysis","Continuous,Discrete Counts","Other","Ignored",NA,NA,NA,NA,NA,NA,NA,"Repeated Measure treated as ANCOVA controlling for baseline","Health","No-PN",NA,NA,NA,NA,NA,73
"111567731","111567731","28216","Journal of Educational Psychology","2022","1","First publication of the study’s results","818, Current Study",NA,"1","students enrolled college developmental writing courses","815, Abstract","Cluster","819, Recruitment","Instructors","Students","Block/Stratified","819,  Sites and Instructors","2","819, Recruitment",NA,"Yes","Hierarchical clustering","Hierarchical clustering: Students nested in sections nested in instructors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 motivation scales, 13 writing outcomes","Total Effect estimation","two level HLM models with students nested within instructors. College was included in the model as a fixed factor because there were  only two colleges and it was used as a blocking variable during  random assignment.","824,  Quantitative Analysis","Continuous",NA,"Random effects,Fixed effects",NA,NA,NA,NA,"hierarchical clusters: College treated as fixed and instructors treated as random",NA,NA,NA,"Education","No-PN",NA,NA,NA,NA,NA,14
"111571307","111571307","28787","Preventive Medicine","2022","1","First publication of the study’s results","2, Participants",NA,"1","Women aged 50-64 years living in Great Britain","2, Participants","Individual","2, Procedure","Participant",NA,"Complete/Ratio","2, Procedure","3*","2, Procedure","Study uses partial factorial design because it randomizes within treatment condition but how it is written is very challenging to determine how many conditions there are. The authors call their study a 3 arm experiment.","Yes","Repeated measures","Repeated Measures: Baseline and Post",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intention for cervical cancer screening","Total Effect estimation","ANCOVA analyses and a t-test were used to compare the impact of the different versions of each message on intention strength, controlling for baseline intention","2, Statistical analysis","Continuous","Other",NA,NA,NA,NA,NA,NA,NA,NA,"repeated measures  treated as ANCOVA","Health","No-PN",NA,NA,NA,NA,NA,61
"111573762","111573762","28788","Preventive Medicine","2021","1","First publication of the study’s results","3, Materials and methods",NA,"1","Canada and US survey respondents aged 16-65","3, Materials and methods","Individual","3, Experimental task","Participant",NA,"Other","Randomization not described and no sample sizes per treatment condition were reported.","13 (3 x 4 factorial experiment)","2, Abstract",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Health","No-PN",NA,NA,NA,NA,NA,24
"111571758","111571758","28976","Prevention Science","2022","1","Based on data that have been previously published","1267, Procedures",NA,"1","Families whose children were enrolled in the PROSPER experiment","1268, Participants","Cluster","2249, Fig 1 (Spoth et al., 2017)","School Districts","Students","Block/Stratified","2248, Community selection and assignment (Spoth et al., 2017)","2","2249, Fig 1 (Spoth et al., 2017)",NA,"Yes","Hierarchical clustering,Repeated measures,Partially Nested Clusters","Repeated measures: Time 1 and time 2 for individuals  ~ Hierarchical clustering: Participants nested in school district ~ Partially Nested Clusters: Community teams operating within school districts",NA,"Treatment Provider","stakeholder teams of 8-12 formed  including the local CES-based team leader, a public school co-leader, representatives of local human service agencies (e.g. mental health, substance abuse), and parent and youth representatives whom selected sequence of interventions to be delivered","Yes","Yes","2250, PROSPER partnership delivery system  (Spoth et al., 2017)","No","Natural within Blocks/Strata","Each school district had their own team formed from local communities","2250, PROSPER partnership delivery system  (Spoth et al., 2017)","No",NA,NA,NA,"For the subsample in this study it is not reported how many units are from each school district","9 outcomes related to drug use and family and life quality","Total Effect estimation,Moderation/effect heterogeneity","two-level multilevel models and OLS regression","1269, Data Analysis","Continuous","Random effects","Ignored,Other",NA,NA,"Ignored",NA,"hierarchical clusters: school district were included in the model but removed due to low ICC","No",NA,NA,"Health","PN","Observational Treatment Provider CRD",0,0,0.5,0,20
"111568161","111568161","28880","Obesity","2023","1","First publication of the study’s results","2961, Animal husbandry",NA,"1","mice with obesity and non-alcoholic fatty liver disease","2960, Abstract","Individual","2961, Randomization","Mice",NA,"Simple/Probability","2961, Randomization","3","2961, Randomization",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Health","No-PN",NA,NA,NA,NA,NA,1
"111576847","111576847","29052","Aids and Behavior","2020","1","First publication of the study’s results","3208, Human Subjects Protections",NA,"1","HIV-uninfected men who have sex with men and transgender women","3205, Abstract","Individual","3207, Randomization and Enrollment","Participant",NA,"Complete/Ratio","3207, Randomization and Enrollment","2","3207, Randomization and Enrollment",NA,"Yes","Repeated measures,Hierarchical clustering","Repeated Measures: 3 month and 6 month outcomes, Hierarchical clustering: Participants nested within counselors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"prevalence of self reported cRAI","Total Effect estimation","generalized estimating equation (GEE) Poisson models to  evaluate group-specific linear trends in outcomes across  two study visits","3208, Statistical Analysis","Nominal category","Generalized estimating equations,Robust variance estimation","Ignored",NA,NA,NA,NA,"Repeated measures: generalized estimating equation with Poisson model was used with robust standard errors",NA,NA,NA,"Health","No-PN",NA,NA,NA,NA,NA,72
"111577995","111577995","28214","Prevention Science","2020","1","Based on data that have been previously published","458, The Current Study: The Family Check-Up and Child  Birth Order","original study Dishion et al. 2008","1","primary caregiver-child dyads participating in WIC programs","458, Participants","Individual","460,  Home Visit Assessment Protocol","Caregivers",NA,"Block/Stratified","460,  Home Visit Assessment Protocol","2","460,  Home Visit Assessment Protocol",NA,"Yes","Partially Nested Clusters,Repeated measures","Repeated Measures: All families had measures recorded at age 2, 3 and 4. Partially Nested Clusters: Treatment was delivered individually by trained parent consultants",NA,"Treatment Provider","Treatment Provider: combination of Ph.D.- and master's-level service workers, diverse ethnic status, trained and certified","Yes","Yes","9, Intervention protocol: The FCU (Dishion et al. 2008)","No","Natural (Non-Random)","Not Described",NA,"No",NA,NA,NA,NA,"Age 2,3,4 Latent Externalizing problems, maternal  depressive symptoms,   improvements in observed positive  parenting","Moderation/effect heterogeneity","multigroup structural equation modeling for latent growth curve model","461, Data Analysis Plan","Other","Other",NA,NA,NA,"Ignored",NA,NA,"No",NA,"Used latent growth curve modeling to handle repeated measures and outcomes were treated as latent constructs","Health","PN","Treatment Provider IRD",0.5,0,NA,NA,1
"111567615","111567615","29129","Journal of Consulting and Clinical Psychology","2022","1","First publication of the study’s results","614, Participants",NA,"1","Adult Women with Binge-Eating Disorder","613, Abstract","Individual","615, Participants","Participants",NA,"Simple/Probability","615, Participants","2","615, Participants",NA,"Yes","Partially Nested Clusters,Repeated measures","Repeated measures: within subject factor recorded outcomes during 2 experimental tasks and Pre and post outcome measures ~ Partially Nested Clusters: Participants nested under therapists.",NA,"Treatment Provider","trained psychologists (All info that was provided)","Yes","No","616, Mirror Exposure","No","Natural (Non-Random)","Not described",NA,"No",NA,NA,NA,NA,"EDE-Q Mean Score, EDE-Q Weight Concern and Shape Concern, frequency of binge-eating episodes in the last 4 weeks","Total Effect estimation","mixed ANCOVAs","617, Statistical Analysis","Continuous","Other",NA,NA,NA,"Ignored",NA,NA,"No",NA,"repeated measures: Utilized an ANCOVA with mixed factors conditional on pre test scores","Health","PN","Treatment Provider IRD",0.5,0,NA,NA,24
"111567722","111567722","28355","Health Psychology","2022","1","First publication of the study’s results","357, The Present Study",NA,"1","Participants aged 18-65","358, Sample and Procedure","Individual","358, Design and Procedure","Participant",NA,"Simple/Probability","358, Design and Procedure","4","359, Figure 1",NA,"No",NA,NA,"They do use random effects in HLM because they have two experimental factors nested within a general intervention factor.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Health","No-PN",NA,NA,NA,NA,NA,30
"111565484","111565484","28531","Journal of Research on Educational Effectiveness","2024","1","First publication of the study’s results","292, Purpose of the Study",NA,"1","fourth grade social studies students","288, Abstract","Cluster","292, Research Design","School","Student","Block/Stratified","292, Research Design","3","292, Research Design","Blocks are cohorts","Yes","Partially Nested Clusters,Repeated measures,Hierarchical clustering","Repeated measures: Pre and Post Measures for some outcomes ~ Hierarchical clustering: Students nested in teacher nested in school ~ Partially Nested Cluster: Treated schools possibly shared research team as coordinators","The authors do not provide details on how research team members were assigned to schools","Group Setting,Treatment Provider","Treatment Provider: Research team members led teacher study meetings (possibly between schools), School personal were chosen by principal ~ Group Settings: Schools in treatment arms had teachers meet after school for study meetings within schools","Yes","No","294, STRIVE PD","No","Natural (Non-Random)","Treatment Provider: For SPD treatment arm coordinators were chosen by school principal and each school had their own. For RPD treatment arm how research team members were assigned to schools was not described.  Teachers opted into the Teacher study team meeting after school","294, Coordinators","Yes","Group Setting: 4 teachers on average during teacher study meetings",NA,NA,NA,"5 reading and vocabulary measures","Total Effect estimation,Mediation","multi-level structural equation models for mediation ~ multi-level models with full-information maximum likelihood estimation","301-302, Data Analysis","Continuous","Other","Random effects",NA,NA,"Ignored",NA,NA,"No",NA,NA,"Education","PN","Treatment Provider CRD",0.333333333333333,0,0.666666666666667,0.666666666666667,47
"111569212","111569212","27080","Journal of Consulting and Clinical Psychology","2021","1","First publication of the study’s results","696, Study Design and Procedure",NA,"1","adults with Class II or III obesity","695, Abstract","Individual","698, Randomization and Sample Size Estimation","Patients",NA,"Block/Stratified","698, Randomization and Sample Size Estimation","2","697, Figure 1",NA,"Yes","Repeated measures,Other,Partially Nested Clusters","Repeated measures: 3 repeated measures, Partially Nested Clusters: In modeling account for the extra induced group in treatment but ignore other forms of group interaction. Other: Treatment and Control involved various types of group and treatment provider interaction. Unclear how to characterize this type of dependency.","Unclear if the extra group sessions & treatment providers should be considered partially nested clusters. The authors account for partially nested clusters","Treatment Provider,Group Setting","Treatment group induced extra group sessions with treatment providers compared to control.","Yes","No","698, Treatment","No","Natural (Non-Random)","Nor Described",NA,"Yes",NA,"6","10",NA,"Percent weight change baseline to time 2","Total Effect estimation","normal approximation and analyzed using a partially nested mixed effect model with the stratification variables (sex, age ≥45 years),  randomization arm, and pretreatment weight as fixed effects and the  CRT group modeled as a partially nested random effect.","699, Statistical Analysis","Continuous","Random effects,Ignored",NA,NA,NA,"Random effects","Ignored","Repeated Measures was ignored in primary outcomes since they modeling the difference score. In secondary outcomes treated repeated measures as random.","Yes","699,  Statistical Analysis","Other forms of clusters are the group and treatment providers found in both treatment arms. Unclear what the nesting structure is for these types of clustering.","Health","PN","MultiGroup IRD",1,1,NA,NA,71
